TIME,CHAN1
0.000177235,5.20e+00
0.000177240,5.20e+00
0.000177245,5.40e+00
0.000177250,5.40e+00
0.000177255,5.60e+00
0.000177260,5.80e+00
0.000177265,6.20e+00
0.000177270,6.20e+00
0.000177275,6.60e+00
0.000177280,6.60e+00
0.000177285,6.80e+00
0.000177290,7.00e+00
0.000177295,7.00e+00
0.000177300,7.00e+00
0.000177305,7.00e+00
0.000177310,7.00e+00
0.000177315,7.00e+00
0.000177320,6.80e+00
0.000177325,6.40e+00
0.000177330,6.40e+00
0.000177335,6.00e+00
0.000177340,6.00e+00
0.000177345,5.60e+00
0.000177350,5.60e+00
0.000177355,5.20e+00
0.000177360,5.20e+00
0.000177365,5.00e+00
0.000177370,5.00e+00
0.000177375,5.00e+00
0.000177380,5.00e+00
0.000177385,5.20e+00
0.000177390,5.40e+00
0.000177395,5.60e+00
0.000177400,5.60e+00
0.000177405,6.00e+00
0.000177410,6.00e+00
0.000177415,6.20e+00
0.000177420,6.20e+00
0.000177425,6.40e+00
0.000177430,6.60e+00
0.000177435,6.40e+00
0.000177440,6.60e+00
0.000177445,6.40e+00
0.000177450,6.40e+00
0.000177455,6.40e+00
0.000177460,6.20e+00
0.000177465,6.00e+00
0.000177470,6.00e+00
0.000177475,6.00e+00
0.000177480,5.80e+00
0.000177485,5.60e+00
0.000177490,5.60e+00
0.000177495,5.40e+00
0.000177500,5.40e+00
0.000177505,5.40e+00
0.000177510,5.40e+00
0.000177515,5.20e+00
0.000177520,5.40e+00
0.000177525,5.40e+00
0.000177530,5.40e+00
0.000177535,5.60e+00
0.000177540,5.60e+00
0.000177545,5.80e+00
0.000177550,6.00e+00
0.000177555,6.00e+00
0.000177560,6.00e+00
0.000177565,6.20e+00
0.000177570,6.20e+00
0.000177575,6.40e+00
0.000177580,6.40e+00
0.000177585,6.40e+00
0.000177590,6.40e+00
0.000177595,6.20e+00
0.000177600,6.20e+00
0.000177605,6.00e+00
0.000177610,6.00e+00
0.000177615,6.00e+00
0.000177620,6.00e+00
0.000177625,5.80e+00
0.000177630,5.80e+00
0.000177635,5.80e+00
0.000177640,5.80e+00
0.000177645,5.60e+00
0.000177650,5.60e+00
0.000177655,5.60e+00
0.000177660,5.60e+00
0.000177665,5.60e+00
0.000177670,5.60e+00
0.000177675,5.80e+00
0.000177680,5.80e+00
0.000177685,5.80e+00
0.000177690,5.80e+00
0.000177695,5.80e+00
0.000177700,5.80e+00
0.000177705,6.00e+00
0.000177710,6.00e+00
0.000177715,6.00e+00
0.000177720,6.00e+00
0.000177725,6.00e+00
0.000177730,6.00e+00
0.000177735,6.00e+00
0.000177740,6.00e+00
0.000177745,6.00e+00
0.000177750,6.00e+00
0.000177755,6.00e+00
0.000177760,6.00e+00
0.000177765,5.80e+00
0.000177770,5.80e+00
0.000177775,5.80e+00
0.000177780,5.80e+00
0.000177785,5.60e+00
0.000177790,5.60e+00
0.000177795,5.60e+00
0.000177800,5.60e+00
0.000177805,5.60e+00
0.000177810,5.60e+00
0.000177815,5.60e+00
0.000177820,5.60e+00
0.000177825,5.60e+00
0.000177830,5.60e+00
0.000177835,5.60e+00
